label,text
negative,i know everyone is panicking over the coronavirus but i just met my mum's new boyfriend and the first thing i said to him was “oh my god you are much taller than i thought if you break my mum's heart it is going to be much harder to kill you” and no one laughed
negative,government it is extremely week and pd (ex communists) are dictating the globalist agenda troika it is on the way and we are under oms leading situation we need to breakout euro prison asap with eu will decay that is why they are killing italy now
negative,19 the us leads the world in confirmed deaths
negative,yes and people fighting with hunger and poverty r also less vulnerable to …
negative,florida niggas will live forever we dont give a fuck about no corona virus
negative,corona cases continue to rise sindh chief minister syed murad ali shah increased lockdown in sindh till april 14
negative,hackers use fake coronavirus maps to infect visitors with malware via
negative,do not be deluded by the delay in your punishment when it comes it will be painful and severe _19
negative,so you no longer think that the coronavirus is a hoax perpetrated by the democrats exactly when was your epiphany moment
negative,we extend our deepest condolences to the somali people and especially to his family through the tragic death of honor nur hassan hussein (nur adde) the former prime minister of the country who died in london suffering from the deadly disease _19 pic twitter com/ia0nkyi8kg
negative,[ your life do not get better by chance its get better by change ] have you been affected by covid 19 crisis round_pushpin a pay cut by your company round_pushpin working extremely hard while managing your children at home…
negative,pinche coronavirus arruina todo
positive,israel offers to teach its secrets against coronavirus abroad …
negative,indian politics is more fatal than at this time of crisis instead of joining hands together to fight the virus our politicians are busy in blame game the migrants of other states are not voters and hence unwanted in their states shameless
positive,brothers day 69 of lockdown from the archives of 2015 majnu ka tila (i'm normally lazy when it comes to archiving my photos and also the daily grind hinders the process but this lockdown boredom has given… …
negative,toh aapne kya kiya 60 years me do not blame the current govt to hide your failures and incompetencies thanks to pm and the whole team for leading the world from front to combat covid 19 india is doing best in the world
negative,life is hard it is harder if you are stupid twitter com/39baeoupeh – at sivasagar town
negative,with the third highest number of coronavirus cases and second highest official death toll in southeast asia the philippines also allowed the reopening of more businesses and people can now leave home without government permits
negative,lockdown khatam hone k baad loog ye status upload karenge missing lockdown face_with_tears_of_joy face_with_tears_of_joy
negative,why healthy asymptomatic covid 19 patients are dying at home in karachi
negative,this time it is about indian economy after the covid19 pandemic pls watch comment and share …
negative,the orange haired orangutan said last week that fear was fake news from democrats and it will be over in a few days it is just like flu he said now the idiot says it is a what changed moron
negative,why you call shoab jamahai in debate he is a known islamist extremist he spread oral corona on tv he misused media for his said agenda of hate among society & govt of india defend his antinationals act in shaheen bagh
negative,i bet the idiot gb being is very concerned over the coronavirus not because of the health of their followers but because of the hit their bank account is going to take if meetings and assemblies are canceled this is a worse case scenario for them
positive,illustration _mack _19 …
negative,indian railways trains resume on tuesday the world's largest lockdown involved shutting the network which carried 20m passengers/day now there will be face shields for passengers
negative,why do u call idiots olike nishant verma on the show we will be compelled to stop watching i wish him corona
negative,'better a terrible end than endless terror' phrase
negative,766 people with symptoms have been admitted to hospitals across situation now under control cm
positive,glad to be part of a team that actually cares even in the times of lockdown jazz sent these care packages to its employees who are twitter com/t9rnujfum5
positive,naicee remix on yes let us break this lockdown together love from hugging_face hugging_face
positive,welcome to new life she fought well against covid 19
negative,adiaram a sleep se fude coronavírus
negative,all the churches kingdom halls synagogues that cancelled their services due to corona virus shame on you u should have faith that god has your backs & not worry to cancel services must mean u do not truly believe in god now u looking at science and you are scared of catching it
negative,when scare ends pic twitter com/jlbmdj9kcw
negative,bs why do you lie the chinese government notified who about the coronavirus on dec 31 the trump administration sprang into action less than a week later on jan 6 meanwhile all democrats did was to work on their next impeachment scheme the timeline proves you lie pic twitter com/sun60wsuym
negative,yes quite the rouges gallery on the presser today all they needed was up there with them i am sick of this shitshow do not let this crappy bunch of derelicts make you feel that this is normal it is not
negative,grocers struggle to keep sweet and salty snacks in stock as consumers look for comfort in cookies and chips amid growing coronavirus fears
negative,dude is it irrational to not want to go to the gym while their is a coronavirus outbreak asking if i'm being too anxious or lazy
negative,especially when he said you can go can go to work with coronavirus and when he said the “number” will be zero in the next week just admit that you prefer to remain ignorant
negative,it is heartbreaking(｡•́︿•̀｡) the coronavirus disaster leads to fear and loathing——ccp is too far away but chinese are among americans i suppose it is much easier to blame the accessible than the crafty＆unlikely to punish but please treat them better ( •̥́ ˍ •̀ू )
negative,for the 6th day in the last 7 we have had after america the highest daily death toll from covid19 in the entire world
negative,as we continue our lockdown remember that we will come back stronger and better as a nation road ahead is tough but we are tougher our forefathers build this nation with their blood and…
negative,*denmark shuts schools and universities after surge in coronavirus cases* denmark dk's prime minister is now announcing that most of denmark is shutting down schools and alot of institutions groups of more than 100 people is not allowed
negative,the thought of jacob's nashville show getting cancelled makes my heart hurt soooooo bad please go away
negative,wajid khan the popular bollywood music director from the sajid wajid duo passed away today at the age of 43 he was suffering from covid 19
positive,lockdown blessings
negative,so claims the is a hoax while italy quarantines 16 million people we all may be dead or broke before we get a chance to vote this idiot out of office in november
negative,grabbing bite at atl cashier took a text while serving me apparently lakeisha has coronavirus and will not be in none of us seemed to care we just wanted our stupid food
negative,will it go ahead with coronavirus threats
negative,do not let the coronavirus get you down burn one
negative,cannot you ask your old mates at the bbc they seem to know every bloody thing about coronavirus especially their so called correspondents they bang on about it every waking hour
negative,"""nothing justifies being rude to others"" and that goes for everything not just because of the coronavirus"
negative,and ⁦ are aiming to have thousands of americans die from covid 19 to stop pres trump from being re elected dems are evil sick people ⁩ fails to move forward with coronavirus 'phase 3' bill amid dems' opposition
positive,those who have been criticising doctors since the start of pandemic have good new home isolation policy is announced now you can take care of you asymptomatic patients i doubt how many will take care of their covid 19 positive relatives
positive,anyone is bellcome for this healthy cowdung sauna style bathwa only in hisar haryana bharat it will suckwa and killwa all the coronavirus
positive,"lockdown also made the people ""brave and strong"" about their family issues and relationships"
negative,i have been switching between al jazeera sky news bbc and cnn and frankly i am worried italy is in a terrible state hmmm we cannot afford to get to that point i pray we do not averagely that is what we do pray
negative,anthony causi beloved post sports photographer dies of coronavirus at 48 via
negative,covid 19 spread can be stopped only through the formula of social distancing without that the stage 3 of the virus is not much distant away from the india society _distancing
negative,"saying ""panic is not necessary"" is not helpful anytime anyone has told me to stop panic it just got worse"
negative,worried about do not just wash your hands – urge congress to pass a key prevention tool and commonsense protection all workers need even when we are not facing a pandemic
negative,i do not think the coronavirus realizes who it is messing with pic twitter com/llvkv4ne98
negative,messaging has been disgraceful of course it would help if people actually used their brain instead of walking around totally clueless
negative,most of the private hospital are charging 300 to 3500 per day for corona patients in mumbai and most of the the hospital dont have sufficient bed wt will happen with the peoples below poverty line
negative,coronavirus is screwed
negative,society does not care about me just because my face sucks and i have no control over it that is some bullshit and society is too shallow to even admit it at least corona virus is giving normies their just desserts
negative,here are some tips to preventing yourself from getting corona virus wash your damn hands shower and overall have hygiene it is not hard people
negative,immigration judges (naij) eoir has ordered immigration court staff to remove cdc posters designed to slow spread of coronavirus no this is not a parody account
negative,i know if anything it is a cold people do not realize it is also spring with allergies not corona virus i'm not letting them poke me with nothing regardless they may just be injecting you with something jmo
positive,taher shah's new song is out it will end corona virus in the world now
negative,nhs scotland shame on you we have a confirmed death due to the coronavirus in the highlands and are being refused information about where the individual was from allowing people the facts to enable informed decisions is only fair treat this as an foi
negative,i rlly got to move out of college bc of coronavirus this shits crazyyy
negative,"death toll in italy surpasses 7 500"" over 400 patients 100 people recovered 200 dead globally"
negative,serious question for all who think this whole thing is overreaction and hysteria do you actually believe nearly every nation on earth would shut down their entire economies over a “cold” or is it possible this is worse than they are telling us to prevent panic
negative,do not know who this guy is but he has a great point kween hillary would be handling this crisis like a champ if she were president she did such a great job managing bill in the oval office we would really be going places if she was in charge sad
negative,capitalism (and the greed it breeds) is probably going to make the spread of even worse in the us
negative,this pc is a joke on those people who are suffering from _19india …
negative,hm this corona virus is getting serious chale @ dansoman
negative,just in public areas of buildings owned by in and around temple square in downtown slc have been closed until further notice due to concerns over the novel
negative,you know who will be unaffected by the coronavirus the most deplorable of deplorables they will not get sick
negative,“hahaha look everyone he shit himself ” nonono i swear i have coronavirus
negative,stigmabase — hong kong protesters have promised a 'miracle' but china's national security law seems after a months long break due to the coronavirus pandemic sunday's march was the first opportunity many hong kongers had to view article
negative,is the making you afraid of what the future holds looking for a sense of peace call 877 whyislam you deserve to know
negative,do not underestimate the coronavirus i repeat do not underestimate the coronavirus it has evolved to not only infect animals but also humans dont think it is dangerous cause it cannot kill you yet if we do not stop it covid 19 will continue to evolve to potentially become deadly
negative,wall street roared back to life on tuesday rebounding from the brink of bear market confirmation as bargain hunting and hopes of government stimulus calmed investors' fears surrounding the and growing signs of imminent recession
negative,the christian right and are the biggest threat to the world right now during this pandemic they outright evil their ignorance is death incarnate
negative,dude on the train dressed like kakashi telling me “it's coronavirus safety not cosplay” he better kamui that mf then cuz his nike mask not doing shit
negative,let me tell you all this is the only trick of china to defeat america because they cannot come to the fore and fight america so they resorted to this corona virus and the whole world is suffering
positive,my dearest mate it is been a real pleasure to have u i've not seen u personally but you are 1of those human beings who has a virtual presence in theloyalty i really love you respect you trust you be safe & if possible plz keep me posted regarding ur status pic twitter com/go071yuet0
negative,really feeling bad is this the arrangements for unlock 1 really as we are having more than 3300 cases in the sole indore then too then arrangement are like this really feel bad /d5dvnyakjc
negative,"coronavirus captain smith and pocahontas had a very mad affair when her daddy tried to kill him she said ""daddy oh do not you dare"" he gives me fever with his kisses fever when he holds me tight fever i'm his missus so daddy will not you treat him right"
negative,covid19 kills another event as dolpa43 becomes 100% online
negative,the world today is just like 2000 we were warned about the millennium bug a potential technological problem what did people panic buy condoms coronavirus now panic buying loo roll think with our genitals for 2000 think out of arse today
negative,i know govt is trying to get the economy back on track&minimize d loss but that does not mean you give instructions to resume the train & flight bookings lockdown must increase to safeguard the lives of people life comes before money
positive,i hope you are all doing good in your quarantine stay home stay safe not only from but also be aware of the dangers of so use mortein products and say
negative,this is our so called muslim society where a muslim women officer harassed by these shitts mard enko lagta hai ye musilman hai jummah par kr aye hai musilman hai no mein enko musilman ni janta touch her they abused her physical ridiculous __19
positive,_board you & tejaswini both are doing a commendable job with special focus on board segment children though we got to know about you only during the lockdown have recommended your youtube video clips to many please continue with the good work & all the best
negative,finally ovrtook fr destruction vdout cause undr ego policy r dffrnt sides of d same coin unlike der past & presnt charactr dey considr demslves superior to rst r careless fr _19india undr ugly thinktheory
negative,probably going to take a mass shooting for people to shut up about the coronavirus for a few days
negative,if i were ever faced with the prospect of licking a toilet seat where a thousand strange butts have sat coronavirus would be the last thing on my mind afterward i would hope for a fast acting strain of the disease to finish me off
positive,due to one set of people some country utilising opportunity and make fun of entire community thing
negative,so says nothing to worry about with the corona virus & then he works from home pulls his kids out of school & tells all other politicains to go into isolation some fucking leader
negative,due to and in bowenpally area there are a lot of people's are not having a single rupee to buy a rice and there in need of ration for their homes so please come out and help those people by feeding contact me 7799322774
negative,rest in peace celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 pic twitter com/u4s0rtwlst
positive,day raised_hand_light_skin_tone victory_hand_light_skin_tone victory_hand_light_skin_tone globe_showing_Asia-Australia
negative,all these super fit athletes testing positive for and here's me just lazing about fat as fuck severely unfit asthmatic full of anxiety does not believe in fruit or veg and a drug taking binge drinker what chance have i got come at me
negative,it will take 25 years to test 20% of the uk population at the rate they are being tested for people are waiting on tests this is unacceptable and dangerous
negative,fuck u coronavirus i cant hang out with any of my friends now and i have to sit by myself and think key word think thinking is not good cor my health
negative,pls issue 2 beds for my parents in saket my parents are covid patients they need your help 30% beds r reserved for covid patients i request you to please help us my parents are diabities and hyper tension patients
negative,the idiot's guide to coronavirus from an emergency physician via
negative,hey do not email me about the coronavirus worry about my money and that is it you can cut the shit as well
negative,i think it is time to replenish or add more weapons in my inventory regarding with this corona virus we are facing i will not be left defenseless in my own home if shit were to go down fuck that
positive,beauty of lockdown days red gulmohar flower carpet at melattur railway station of nilambur shornur railway line today ഒരു പൂമരക്കാറ്റ് പെയ്തപോലെ നിറയെ ചുവന്ന പൂക്കൾ courtesy pattikad railway station and…
negative,we are lit rally getting low of medication it just crossed my mind where in hell am i going to find the treatment of my grandma with this coronavirus lockdown the prices in the fucking sky also i would better die
negative,in italy people are getting fined if they leave the house due to coronavirus it is mad
negative,karyakartas of abvp have been working round the clock to help students stuck during the lockdown so far thousands of northeast students have been helped by abvp this is what hon'ble chief minister of manipur shri ji has to say about abvp's work
negative,you forgot the third india one that is try their best to spread the last and the most important one forth india those protecting the ones spreading this disease
negative,an iranian cleric visited hospitals & made patients suffering from coronavirus smell a holy perfume which was handed over to him by the prophet the patient died next day coronavirus pic twitter com/5wdbnsx3ar
negative,i can see the trolls posting pictures outside making that dumb hand signal when there is a quarantine like fucking ben sh*p*ro ugh it is totally going to happen is not it maga hats getting coronavirus to own the libs
negative,the protesters in us should not give room to antisocial elements now they take everything in their hands looting both public and private properties and setting fires the main purpose shall be defeated hence stop agitation to save common people already suffering from corona
negative,coronavirus will expose capitalism like never before via
positive,lockdown impact 2 grinning_face grinning_face_with_big_eyes
negative,why are you still open and working are not driver examiners health/safety a concern is getting your licence considered an “essential” during they should get hazard pay no masks or gloves because it is not part of their uniform answers
negative,2019 2020 taking in easy way bihar is going in past in the last 10 years bcoz of poor governance of
negative,us coronavirus up coverage until close use could upend can uk closed union cnn unleashes cbs
positive,is lockdown only for common people of country is violating the lockdown norms by organising the parties and birthday celebrations political activities and social gatherings are ban but is orgainsing joining rallies is this the way to go ahead /bj6wbcx3of
positive,… covid good news
negative,exploring my archives | staying home even if it has been hot as hell | kwang pottery jungle
positive,isolated detainee pn dapat covid this rona will be treated as urti in few months lol …
negative,corona virus when it falls on the fabricremains 9 hours so washing clothes or being exposed to the sun for two hours meets the purpose of killing it
negative,the legacy to be kept in family robert's name does not goes down well with electorates corona lock down has been used for launch of new incumbent conveniently has surname gandhi and having crash course to dine with poor and show sympathy for them before he is launched in politics pic twitter com/rczzxjdvxj
negative,we knew the coronavirus was coming for the economy but a dispute between saudi arabia and russia just sped up the trouble via
negative,finally ovrtook fr destruction vdout cause undr ego policy r dffrnt sides of d same coin unlike der past&presnt charactr dey consider demslves superior to rst r careless fr _19india undr ugly think theory
negative,the is on trying to shed some light on how serious is pic twitter com/68k6gsrvpq
negative,lockdown panic famine and inequality
positive,vanga nanbargala ellam onna polam fire brave decision by the gov for opening tasmac clapping_hands_light_skin_tone ellarom corona la sethalum parava illa nu tasmac open pandradhu romba nandri keep doing these great work
negative,and the irony is no of corona cases in india are still less than my jee rank
negative,i want to go suriname when covid is over
negative,thull is passing the most dangerous and ultra hazardous situation in its history 80% population of thul town and surrounding have been striked by corona virus cm/health m sindh to take notice we plead the govt to pay attention to thul retweet&share
negative,when i asked why has not been sticking around after his last few events to meet with attendees—something that he clearly enjoys while on the trail—his campaign seemed to indicate that it was due to concerns about coronavirus issuing this statement to /kt2rbkjhga
negative,nobody cares your eu ban made no sense anyway and you probably realised later mexico is about to build a wall of its own to prevent from u s but you will probably find a conniving method to send it their way anyhow anyway thought it was just a flu pic twitter com/z2t9ebowyy
negative,from where can i get list of recognised testing/collection centres both govt and pvt clinics chandigarh panchkula area
negative,i'm pretty sure you stomping your feet over words is equally ineffective you are trying to take the blame for assault and put it on the shoulders of those saying the coronavirus is from china that is not effective it is just stupid
negative,dr pankaj shah aged 65 m d physician expired today at global hospital ahmedabad due to covid 19 r i p sir pic twitter com/kjihg6m9aq
negative,i'm going insane i cannot leave the house i'm on a starbucks and dunkin ban cannot even go to the gas station infront of my house i'm this close to sneaking out in the middle of the night fuck the coronavirus )
negative,please must watch this video this is the ground realty in kejri govt in covid 19 situation …
negative,i'm so sick of this one was making a point one was deliberately trying to scare people gas masks do not even fucking protect against fuck just fuck
negative,breaking mid american conference tournament to be played without fans due to coronavirus concern story
positive,we gave won against corona and migrants have become politics now
negative,corona virus is wwlll
negative,"""federal reserve slashes interest rates to confront coronavirus pandemic"""
negative,covid 19 etisalat offers free internet video voice calls for two months …
negative,when ppl start losing their jobs over the pls remember to direct your anger to the democrat party & their media hacks who orchestrated this whole deal pic twitter com/t5kbbvscoe
negative,i think girls think i have the coronavirus cuz they keep avoiding me
negative,it is not because of covid he also suffering from kidney problem
positive,excellency that will be a good time pass in lockdown
positive,we all look at the same moon with hope that everything gets better soon peace_symbol …
negative,very true if we all just maybe he will go back to being just an another annoying twitter troll
negative,why are they making the coronavirus such a big deal
positive,great sir ji each & everyone person ia also corona various …
positive,"very nice initiative by our and other officials we hv to fight against covid19 & we will get victory within 15 days if we follow the directions of our pm sahib & distt officials so 100% ""lockdown"" & if you need any thing there is no problem as admn is providing"
negative,google bangalore employee tests positive for coronavirus and office park shuts down emails say
negative,i am a census employee please help me get the word out we are 3 weeks away from hiring 100 000 people to count shelters food vans homeless this will hurt employees the vulnerable and the census count congress and the administration need to act
negative,miss will be happy for another lockdown
negative,"celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 my prayers and strength for the entire family may his soul ""rest in peace"" …pic twitter com/43e9svyczv"
positive,jai shri ram ji plz obey lockdown and be fit healthy
negative,"seriously now turning into an issue of ""personal responsibility"" in the face of incoherent and contradictory govt info we all just do our own thing only degenerate scum could display such malicious indifference"
positive,mubarak sparkling_heart pray for humanity palms_up_together pray for the world palms_up_together may allah forgive us all may allah protect us all from this pandemic _19 ameen sumameen palms_up_together – at ghouri town phase 5 islamabad
negative,online ration card service is not working in maharashtra kindly have a look and plz start the service in lockdown it is very difficult to apply for the rc negligence seen in govt work during this lockdown i hope you will start online rc facility
negative,field trips are getting cancelled and now dance competitions too frickin coronavirus ruined it ahh
negative,i am not any more concerned about catching the coronavirus in amarillo tx as i am in new york catch me in times square
negative,the main thing separating our government from that of so many others is democracy and w that accountability we cannot hesitate to hold our government accountable they are elected officials public servants people we trusted w our future and we deserve communication
negative,the chinese communist party knew about coronavirus at least since november 2019 but instead of warning their own citizens and the world about it they supressed it and arrested anyone who tried to raise the alarm over this until it blew up in their and everyone is faces
negative,"""what we need is to control the panic ” why this nobel laureate predicts a quicker coronavirus recovery 'we're going to be fine'"
negative,bollywood singer composer dies of coronavirus at 42 /7frvjr8fik
positive,now i'm share to my experience today 02155 hbj to hnz train awesome facility to indian railway these are providing to best facility and protection in covid 19 thank you so much – at ganj basoda railway station
negative,trump you once said in a tweet that obama should go hug up everybody with ebola your time to go and kiss everybody in america with coronavirus is now as you called it the chinese i tell you be careful of what you say because you do not know which one you will have to eat
negative,locked down here due the corona virus not going out until this thing blows over
negative,hope they are careful where they go with coronavirus
negative,i'm just making the most of this crisis by doing cameos i love you all love each other it is freee stay safe check out my cameo profile
positive,"i m facing issue of ""content not supported on your device"" few days back i have seen sande movie on same device kindly look into matter as during lockdown this is only thing i have"
negative,pandemia estado de emergencia y limitacion de derechos individuales y civiles un trade off entre seguridad y libertad de coste desconocido de gobernanza centralizada y asunción colectiva (p3)
negative,jamaica's fin min annouces 7billion contingency bill for spending on health social economic security should conditions necessitate and we have an outbreak in a better position to withstand global shocks
negative,"if all of these ""essential service"" workers get pushed to the side once this whole coronavirus thing passes they have every right to riot and destroy society by refusing to work"
negative,what happened in india migrants suffering with lockdown to go home they are paid fully ticket price but not satisfied
negative,u s intelligence agencies did not mince words throughout january and february they repeatedly warned president donald trump and other top administration officials about the growing danger of the coronavirus and how it could quickly spread around the world
negative,"celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 my prayers and strength for the entire family may his soul ""rest in peace"" twitter com/tk6ehuylvd"
negative,this coronavirus is really starting to piss me off
positive,lockdown success
negative,indians should tweet she was +ve on and she was attending meetings and treated in home why __19
negative,the fear of the deadly coronavirus on one side and the massive loss of profits on the other side which one are the oilygarchiks chorporate's going to choose let us see
negative,when india was under lockdown (with cases in thousands) we were worried of corona now when india is unlocking (with lakhs of covid 19 cases) we are not worried in fact we are now ready to fight our invisible enemy we have accepted corona as our liability
negative,company threatens to sue volunteers who 3d printed valves for coronavirus aid
positive,i am proud of the way she reacted with courage for amfan and corona reacted is praiseworthy
negative,meanwhile other youtubers are panicking making there followers panic let us stay calm folks let us talk about coronavirus via
negative,no concern or leadership for coronavirus testing
negative,this is the sign of hyper action that leads to hypertension anxiety high blood pressure many lifestyle disorders and mostly ends with cardiac arrest by losing life practice yoga to balance your body emotions mind psyche and actions stay at home fight against coronavirus
negative,these mother fucker jihadists only happen to be in pashtoon region i do not consider them muslims & those who have trained them are worse animals 3 bloodsheds on the same day that is why we do not fear corona becoz we have worst virus than that
negative,coronavirus infections in children including covid 19 the pediatric infectious disease journal
negative,many other then labour need serious help sir wish corona caught me so i can fir too
positive,feel has brought sense in is good concept but this guy has lied 2 us since 2014 that is d fact v see cannot believe him that is also a fact hope he implements
negative,poor taxi man help donation charity help money my taxi damage please help registration malikashraf1545 0092335252521what's my family corona virus my children crying hungry no food no milk please help donation thanks malikashraf1545 0092335252521what's
negative,coronavirus lol the judge should send him a level 4 containment suit and a doula
negative,i myself had a heart attack in september 18 2019 i'm not overly concerned about the coronavirus i think this is the most over exaggerated bunch of crap in news media history
positive,agree to disagree first they should carry shit bags+2sets of hand glows+face masks& if dogs sneez/bark they should put dog face mask to dogs all these things its better to send their dogs2 *dog care* corona pendemic leave your dogs in*dogs care*one full year
negative,not too sure licking the floor gives you probably upset tummy etc however the person sat in the pew next to you snotting and coughing all over you would he typifies the current us thinking
negative,the national cyber security centre say “opportunistic” are using the outbreak to launch online attacks
negative,harsh steps are needed to stop the coronavirus experts say
negative,"""while the government has a responsibility to prevent the spread of misinformation about covid 19 this does not mean silencing those with genuine concerns or criticism of the government's handling of the crisis "" …"
negative,i wish people would understand that not everyone has the privilege to not go to work when they are sick (when it is not the coronavirus btw) some people cannot just be like “i'm sick i'll stay home today xoxo”
positive,digital marketing strategies in lockdown
negative,related ir's been discouraging to hear so many people say they will judge current efforts to prevent coronavirus deaths by irrational criteria (eg if a lot of people do not die that means we did too much to prevent people dying)
negative,have not seen my sister for 2 months that is enough corona loudly_crying_face loudly_crying_face
positive,thank you so much ji for this honour and appreciation it gives us more encouragement to work hard _warrior twitter com/nmzr0om2rx
negative,uncalled for hysteria via
negative,i'm not afraid of the corona virus i'm afraid of all the people afraid of the corona virus taking all the ass wipe (and lysol) pic twitter com/mooubwknds
negative,please add dd shillong in your dish also i need it so bad during this lockdown please i'm begging you if you do not add now i'll change my dish tv after the lockdown is over
negative,i feel no pity on myself thought i acept my condolences for the passing away of ur father mother sister's and brother's do to the inability of ur visionless gvt to provide for them on the covid 19 lockdown
negative,live on the uk government's failure to act early on in the pandemic has damaged the aviation sector and they are shying away from the realities of future air travel amid covid19 pic twitter com/vt8i6azfpn
negative,i've figured out how to wipe out the all you need to do is just turn off your tv for the next 72 hours go out and have some fun with family and friends for a couple days then in 3 days turn on you will see what shit their reports are
negative,this rough sleepers and drug users not getting coronavirus advice
negative,bbc news coronavirus germany tightens curbs and bans meetings of more than two
negative,took 3 months for trump to deal with the threat seriously to the point of calling it war i feel that causes more fear than calling it pandemic i guess i was expecting too much from someone who still calls it the chinese virus call it by it is name coronavirus or corvid 19
positive,xx samosa chole anaar xx love chaats the khatta meetha effect is unbelievable lipsmackingly delicious i thought due to covid19 can never binge on chaats anymore but i was wrong …
negative,"""what ” are they afraid of the coronavirus ""0h i see why trump created the coronavirus"
